session_id,time,value,peak_opacity,opacity_change_rate,significant_changes,duration,ambient_light_level,clearing_time,timestamp
,10711.0,2736.0,,,,,,,
,10812.0,2720.0,,,,,,,
,10912.0,2688.0,,,,,,,
,11012.0,2656.0,,,,,,,
,11112.0,2624.0,,,,,,,
,11212.0,2544.0,,,,,,,
,11312.0,2576.0,,,,,,,
,11412.0,2576.0,,,,,,,
,11512.0,2560.0,,,,,,,
,11612.0,2576.0,,,,,,,
,11712.0,2544.0,,,,,,,
,11813.0,2576.0,,,,,,,
,47.0,1152.0,,,,,,,
,175.0,1088.0,,,,,,,
,304.0,1088.0,,,,,,,
,432.0,1088.0,,,,,,,
,561.0,1056.0,,,,,,,
,689.0,1072.0,,,,,,,
,818.0,1088.0,,,,,,,
,946.0,1088.0,,,,,,,
,1074.0,1088.0,,,,,,,
,1203.0,1088.0,,,,,,,
,1331.0,1088.0,,,,,,,
,1459.0,1088.0,,,,,,,
,1588.0,1088.0,,,,,,,
,1716.0,1088.0,,,,,,,
,1844.0,1088.0,,,,,,,
,1973.0,1088.0,,,,,,,
,2101.0,1072.0,,,,,,,
,2229.0,1088.0,,,,,,,
,2358.0,1072.0,,,,,,,
,2487.0,1088.0,,,,,,,
,2615.0,1088.0,,,,,,,
,2744.0,1072.0,,,,,,,
,2872.0,1088.0,,,,,,,
,3001.0,1072.0,,,,,,,
,3129.0,1072.0,,,,,,,
,3257.0,1072.0,,,,,,,
,3386.0,1088.0,,,,,,,
,3515.0,1088.0,,,,,,,
,3643.0,1072.0,,,,,,,
,3771.0,1072.0,,,,,,,
,3900.0,1088.0,,,,,,,
,4028.0,1088.0,,,,,,,
,4156.0,1072.0,,,,,,,
,4285.0,1072.0,,,,,,,
,4413.0,1072.0,,,,,,,
,4541.0,1088.0,,,,,,,
,4670.0,1088.0,,,,,,,
,4798.0,1072.0,,,,,,,
,4926.0,1056.0,,,,,,,
,5055.0,1088.0,,,,,,,
,5183.0,1088.0,,,,,,,
,0.0,2976.0,,,,,,,
,101.0,3024.0,,,,,,,
,201.0,3024.0,,,,,,,
,302.0,2976.0,,,,,,,
,403.0,2944.0,,,,,,,
,503.0,2944.0,,,,,,,
,604.0,2912.0,,,,,,,
,704.0,2912.0,,,,,,,
,805.0,2960.0,,,,,,,
,905.0,2960.0,,,,,,,
,1006.0,2976.0,,,,,,,
,1107.0,2976.0,,,,,,,
,1207.0,2976.0,,,,,,,
,1308.0,2992.0,,,,,,,
,1408.0,2976.0,,,,,,,
,1509.0,3008.0,,,,,,,
,1609.0,3008.0,,,,,,,
,1710.0,2992.0,,,,,,,
,1810.0,2976.0,,,,,,,
,1911.0,2976.0,,,,,,,
,2011.0,3008.0,,,,,,,
,2112.0,2880.0,,,,,,,
,2213.0,2944.0,,,,,,,
,2313.0,2912.0,,,,,,,
,2414.0,2960.0,,,,,,,
,2514.0,2976.0,,,,,,,
,2615.0,2976.0,,,,,,,
,2715.0,3040.0,,,,,,,
,2816.0,3024.0,,,,,,,
,2916.0,3088.0,,,,,,,
,3017.0,3104.0,,,,,,,
,3117.0,3168.0,,,,,,,
,3218.0,3232.0,,,,,,,
,3318.0,3248.0,,,,,,,
,3419.0,3328.0,,,,,,,
,3520.0,3344.0,,,,,,,
,3620.0,3360.0,,,,,,,
,3721.0,3120.0,,,,,,,
,3821.0,3200.0,,,,,,,
,3922.0,3104.0,,,,,,,
,4022.0,3072.0,,,,,,,
,4123.0,3104.0,,,,,,,
,4223.0,2992.0,,,,,,,
,4324.0,3088.0,,,,,,,
,4424.0,3152.0,,,,,,,
,4525.0,3152.0,,,,,,,
,4626.0,3248.0,,,,,,,
,4726.0,3280.0,,,,,,,
,4827.0,3264.0,,,,,,,
,4927.0,3248.0,,,,,,,
,5028.0,3360.0,,,,,,,
,5128.0,3312.0,,,,,,,
,5229.0,3328.0,,,,,,,
,5330.0,3280.0,,,,,,,
,5430.0,3280.0,,,,,,,
,5531.0,3392.0,,,,,,,
,5631.0,3344.0,,,,,,,
,5732.0,3328.0,,,,,,,
,5832.0,3392.0,,,,,,,
,5933.0,3376.0,,,,,,,
,6033.0,3312.0,,,,,,,
,6134.0,3424.0,,,,,,,
,6235.0,3584.0,,,,,,,
,6335.0,3744.0,,,,,,,
,6436.0,3728.0,,,,,,,
,6536.0,3680.0,,,,,,,
,6637.0,3792.0,,,,,,,
,6737.0,3872.0,,,,,,,
,6838.0,3904.0,,,,,,,
,6938.0,4000.0,,,,,,,
,7039.0,4048.0,,,,,,,
,7139.0,4048.0,,,,,,,
,7240.0,4097.0,,,,,,,
,7341.0,4241.0,,,,,,,
,7441.0,4273.0,,,,,,,
,7542.0,4289.0,,,,,,,
,7642.0,4289.0,,,,,,,
,7743.0,4321.0,,,,,,,
,7843.0,4353.0,,,,,,,
,7944.0,4433.0,,,,,,,
,8045.0,4401.0,,,,,,,
,8145.0,4369.0,,,,,,,
,8246.0,4353.0,,,,,,,
,8346.0,4385.0,,,,,,,
,8447.0,4753.0,,,,,,,
,8547.0,5281.0,,,,,,,
,8648.0,4993.0,,,,,,,
,8748.0,4625.0,,,,,,,
,8849.0,3664.0,,,,,,,
,8949.0,3808.0,,,,,,,
,9050.0,3680.0,,,,,,,
,9150.0,3648.0,,,,,,,
,9251.0,3600.0,,,,,,,
,9351.0,3520.0,,,,,,,
,9452.0,3360.0,,,,,,,
,9553.0,3280.0,,,,,,,
,9653.0,3168.0,,,,,,,
,9754.0,3168.0,,,,,,,
,9854.0,3088.0,,,,,,,
,9955.0,3104.0,,,,,,,
,10055.0,3088.0,,,,,,,
,10156.0,3216.0,,,,,,,
,10257.0,3216.0,,,,,,,
,10357.0,3232.0,,,,,,,
ID217818,43.0,1104.0,,,,,,,
ID217818,172.0,1088.0,,,,,,,
ID217818,300.0,1104.0,,,,,,,
ID217818,429.0,1088.0,,,,,,,
ID217818,558.0,1088.0,,,,,,,
ID217818,686.0,1088.0,,,,,,,
ID217818,815.0,1088.0,,,,,,,
ID217818,943.0,1088.0,,,,,,,
ID217818,1072.0,1088.0,,,,,,,
ID217818,1200.0,1088.0,,,,,,,
ID217818,1329.0,1088.0,,,,,,,
ID217818,1457.0,1088.0,,,,,,,
ID217818,1586.0,1088.0,,,,,,,
ID217818,1715.0,1104.0,,,,,,,
ID217818,1844.0,1088.0,,,,,,,
ID217818,1972.0,1088.0,,,,,,,
ID217818,2101.0,1088.0,,,,,,,
ID217818,2229.0,1088.0,,,,,,,
ID217818,2358.0,1088.0,,,,,,,
ID217818,2486.0,1088.0,,,,,,,
ID217818,2615.0,1088.0,,,,,,,
ID217818,2743.0,1088.0,,,,,,,
ID217818,2872.0,1088.0,,,,,,,
ID217818,3000.0,1088.0,,,,,,,
ID217818,3129.0,1088.0,,,,,,,
ID217818,3257.0,1088.0,,,,,,,
ID217818,3386.0,1088.0,,,,,,,
ID217818,3514.0,1088.0,,,,,,,
ID217818,3643.0,1088.0,,,,,,,
ID217818,3771.0,1088.0,,,,,,,
ID217818,3900.0,1088.0,,,,,,,
ID217818,4028.0,1104.0,,,,,,,
ID217818,4157.0,1088.0,,,,,,,
ID217818,4285.0,1088.0,,,,,,,
ID217818,4414.0,1104.0,,,,,,,
ID217818,4543.0,1088.0,,,,,,,
ID217818,4672.0,1088.0,,,,,,,
